baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000000303.12	2836.80363335658	5.84452688268922	0.143290977303986	40.7878220433259	0	0
ENSMUSG00000025608.9	4423.40949448527	8.30267550857232	0.196724150457259	42.2046580924298	0	0
ENSMUSG00000045545.8	4116.18434965827	9.13486730910178	0.238808581203826	38.2518386192541	0	0
ENSMUSG00000047586.4	2416.03365064501	7.42785977797152	0.196862106001087	37.7312827179168	0	0
ENSMUSG00000054889.10	6930.99933991589	4.65092788052654	0.113758372778555	40.8842687085562	0	0
ENSMUSG00000097767.8	4122.70926053919	6.58409823283248	0.149902937511558	43.9224096747591	0	0
ENSMUSG00000030693.10	1286.67493063551	5.43590054411546	0.145749930681067	37.2960763597919	1.89992659079985e-304	5.61754009282635e-301
ENSMUSG00000020758.15	6450.02734090986	4.26744028335222	0.114761365928468	37.1853388884561	1.17769147513221e-302	3.04683505760142e-299
ENSMUSG00000053797.10	2378.91588438367	7.99278400031581	0.216832828776052	36.8615031470667	1.91338092370141e-297	4.40013833087202e-294
ENSMUSG00000037820.15	3956.72556124155	4.03171429448327	0.110072302829579	36.6278726876954	1.02999977933473e-293	2.13179054328908e-290
ENSMUSG00000024406.16	2312.03600342929	4.47741161535994	0.122953965541425	36.4153494004342	2.43344166406031e-290	4.5786311019142e-287
ENSMUSG00000056602.12	1189.78264760258	5.37159361691832	0.151894471387572	35.363983743768	6.11264210232678e-274	1.05427794659881e-270
ENSMUSG00000047281.3	1063.70194819041	5.25898573027596	0.149389264600416	35.203237289792	1.78401716291108e-271	2.84029255544389e-268
ENSMUSG00000037185.9	1433.83835143906	4.99749468705213	0.143453106674645	34.8371311217858	6.66909984149398e-266	9.85931138710007e-263
ENSMUSG00000027375.14	3847.62450713927	5.75308084780838	0.165848575668452	34.6887564431628	1.1640803591431e-263	1.60619807954566e-260
ENSMUSG00000026413.12	1674.18030690815	5.5120813696988	0.162226056271161	33.9777807363162	4.74396921818939e-253	6.13662068180411e-250
ENSMUSG00000031995.9	1281.30606240312	6.00822381976939	0.179492917762947	33.4733196977964	1.17862845408662e-245	1.43494547730769e-242
ENSMUSG00000019102.10	4329.88264331889	3.75917145435159	0.11778732505301	31.9149064015147	1.65865413500409e-223	1.90717581289887e-220
ENSMUSG00000034282.3	1270.63412572543	6.82292471285485	0.215616356910033	31.6438178004359	9.22380482897231e-220	1.00476362392231e-216
ENSMUSG00000074796.10	897.500790525596	4.28169888073542	0.135866840901066	31.5139356471327	5.5971340365874e-218	5.79219415776247e-215
ENSMUSG00000028435.8	1003.93630204172	6.2588789143516	0.199990728628607	31.2958453487844	5.3149937309274e-215	5.2383059642383e-212
ENSMUSG00000042793.13	1010.89205599955	4.17912144524058	0.134606750794898	31.0468934177629	1.2565053113161e-211	1.18208592855951e-208
ENSMUSG00000049382.10	5900.52534920045	10.8676955785134	0.354173216324525	30.6846906474019	9.11006372819701e-207	8.19786908619537e-204
ENSMUSG00000063450.14	2046.65903126383	3.45858482424142	0.112983083814961	30.6115279160352	8.59754012903957e-206	7.4143036687805e-203
ENSMUSG00000022871.13	1112.27836032533	6.65136633670673	0.221261771826643	30.0610732789306	1.56464517838121e-198	1.29533845027823e-195
ENSMUSG00000020788.15	2130.76867340906	8.78603760962686	0.294626098994816	29.820975261874	2.08900031785795e-195	1.662924599181e-192
ENSMUSG00000025432.11	1259.90301977528	6.46435587856619	0.218931184684768	29.5268848422577	1.30089466737145e-191	9.97208034466182e-189
ENSMUSG00000061126.5	1626.75194404305	8.16559180754005	0.276835251025636	29.4962140019657	3.21952283994566e-191	2.37980229351269e-188
ENSMUSG00000060716.7	860.919592438957	6.77118624163454	0.238730452676094	28.3633117004205	5.73569614001726e-177	4.09350700034266e-174
ENSMUSG00000003153.10	1026.39586023976	4.76648896689968	0.169355883014238	28.1448089199179	2.77391275452735e-174	1.91372240934842e-171
ENSMUSG00000040703.11	1375.82994255063	7.27928028660597	0.261270857685999	27.8610494529565	7.91458659366211e-171	5.28413544287176e-168
ENSMUSG00000048699.4	2471.37163112593	9.61093729985464	0.347496889339729	27.6576211030728	2.25984758818672e-168	1.46162704789689e-165
ENSMUSG00000038295.14	634.760300825163	5.23268658614805	0.19054741634999	27.4613357996776	5.08732125442413e-166	3.19067539402474e-163
ENSMUSG00000012350.15	1208.77854473858	7.69181818071032	0.282563751069104	27.2215319608678	3.61222670321096e-163	2.19888988459874e-160
ENSMUSG00000024421.16	661.665215196093	5.82574692571889	0.214743256432581	27.1288934632873	4.49340132433547e-162	2.65714077742203e-159
ENSMUSG00000048373.8	881.638687697302	7.23458438812711	0.27988397519598	25.8485123453793	2.52863065339708e-147	1.4537519064822e-144
